Date,Album,Artist,Tags,Record_Label,Record_Label_Loc,Author
"May 21, 2024",That’s What I Been Sayin’,Rami Gabriel,Alternative,Independent Artist,"Chicago, Illinois",Eli Schoop
"May 20, 2024",Combustible Gems,Lightheaded,Pop,lightheaded,New Jersey,Hayden Merrick
"May 17, 2024",Los manantiales,Daga Voladora,Rock,Independent Artist,"Madrid, Spain",Richard Villegas
"May 16, 2024",M​ố​i L​ư​ơ​ng Duy​ê​n,Saigon Soul Revival,Rock,Independent Artist,"Ho Chi Minh City, Vietnam",Megan Iacobini de Fazio
"May 15, 2024",Ukouk: Round Singing Voices of the Ainu 2012–2024,MAREWREW,World,Independent Artist,"Hokkaido, Japan",Matthew Blackwell
"May 14, 2024",Repertoire,Shane Parish,Acoustic,Independent Artist,"Athens, Georgia",Stewart Smith
"May 13, 2024",Eat Your Heart Out,Potatohead People,Hip-Hop/Rap,Independent Artist,"Vancouver, British Columbia",John Morrison
"May 10, 2024",I’m totally fine with it 👍 don’t give a fuck anymore 👍,Arab Strap,Alternative,Independent Artist,"Scotland, UK",Mike McGrath-Bryan
"May 09, 2024",Find Your Flame,Nubiyan Twist,Jazz,Independent Artist,"London, UK",John Morrison
"May 08, 2024",Ship to Shore,Richard Thompson,Folk,Independent Artist,"London, UK",Jon Dale
"May 07, 2024",I AM JORDAN,I. JORDAN,Electronic,Independent Artist,"London, UK",Becca Inglis
"May 06, 2024",Romanticism,hana vu,Pop,Independent Artist,"Los Angeles, California",Spencer Hughes
"May 03, 2024",Big Hotel,Winged Wheel,Acoustic,Winged Wheel,"Detroit, Michigan",Jennifer Kelly
"May 02, 2024",Pull the Rope,Ibibio Sound Machine,Electronic,Independent Artist,UK,Jesse Locke
"May 01, 2024",Spine,Kee Avil,Experimental,Independent Artist,"Montreal, Québec",Ted Davis
"April 30, 2024",The Cool Cloud of Okayness,Tara Jane O’Neil,Alternative,Tara Jane O&#39;Neil,California,Peter Margasak
"April 29, 2024",So Sorry So Slow,Adult Jazz,Rock,Independent Artist,UK,Ted Davis
"April 26, 2024",New Heaven,Inter Arma,Metal,Independent Artist,"Richmond, Virginia",J. Bennett
"April 25, 2024",Out of Body,Geo,Punk,Independent Artist,Netherlands,Will Ainsley
"April 24, 2024",Threnody for the KhoiSan,Garth Erasmus,World,garth erasmus,South Africa,Matthew Blackwell
"April 23, 2024",sleep paralysis,bbymutha,Hip-Hop/Rap,BIGMUTHA,"Chattanooga, Tennessee",Dash Lewis
"April 22, 2024",sentiment,claire rousay,Experimental,Independent Artist,"Los Angeles, California",Lewis Gordon
"April 19, 2024",Perseids,somesurprises,Rock,Independent Artist,"Seattle, Washington",Ben Salmon
"April 18, 2024",Standing on Giant Shoulders,Seafood Sam,Hip-Hop/Rap,Independent Artist,"Long Beach, California",Dash Lewis
"April 17, 2024",Talitakum,Avalanche Kaito,Punk,Independent Artist,"Brussels, Belgium",Megan Iacobini de Fazio
"April 16, 2024",Airdrop,Low End Activist,Electronic,Independent Artist,"Bristol, UK",Joe Muggs
"April 15, 2024",Thema Maboneng,Abacothozi,Rock,Independent Artist,"London, UK",Peter Margasak
"April 12, 2024",Up On Gravity Hill,Metz,Rock,METZ,"Toronto, Ontario",Will Ainsley
"April 11, 2024",Congo Funk!: Sound Madness From The Shores Of The Mighty Congo River (Kinshasa​/​Brazzaville 1969​–1982),Various Artists,Funk,Analog Africa,Germany,Megan Iacobini de Fazio
"April 09, 2024","If I don​’​t make it, I love u",Still House Plants,Rock,Independent Artist,"London, UK",Jesse Locke
"April 08, 2024",Violent Violins Exposed,Babak Ahteshamipour,Electronic,Independent Artist,"Athens, Greece",Joe Muggs
"April 05, 2024",The Garden Dream,gglum,Pop,Independent Artist,"London, UK",Elle Carroll
"April 04, 2024",One Million Love Songs,Bnny,Rock,Independent Artist,"Chicago, Illinois",Spencer Hughes
"April 03, 2024",Quintela,Carme López,World,Independent Artist,"GA, Spain",Matthew Blackwell
"April 02, 2024",Heart Fresh,Kopy,Electronic,Independent Artist,"Osaka, Japan",Jon Dale
"April 01, 2024",Temple Needs Water. Village Needs Peace.,Real Bad Man & Lukah,Hip-Hop/Rap,Real Bad Man,"Los Angeles, California",Blake Gillespie
"March 29, 2024",Moves In the Field,Kelly Moran,Experimental,kelly moran,"New York, New York",Ted Davis
"March 28, 2024",Forest Scenes,MIZU,Experimental,Independent Artist,"New York, New York",James Gui
"March 27, 2024",Black Sheep,Cakes Da Killa,Hip-Hop/Rap,Independent Artist,"Brooklyn, New York",Dash Lewis
"March 26, 2024",affinity,Fears,Pop,Independent Artist,"Dublin, Ireland",Vrinda Jagota
"March 25, 2024",The Liminality Of Her,Amanda Whiting,Jazz,Independent Artist,UK,Michael J. West
"March 22, 2024",Akoma,Jlin,Electronic,Independent Artist,"Gary, Indiana",James Gui
"March 21, 2024",Unleash,Heavee,Electronic,Independent Artist,"Chicago, Illinois",Nadine Smith
"March 20, 2024",Funk Tide: Tokyo Jazz​-​Funk From Electric Bird 1978​–87,Various Artists,Jazz,WEWANTSOUNDS,"Paris, France",Shy Clara Thompson
"March 19, 2024",En La Conquista Del Mundo Latino,Salsa Suprema,World,Independent Artist,"Caracas, Venezuela",Richard Villegas
"March 18, 2024",Read the Air,Marbled Eye,Punk,MARBLED EYE,"Oakland, California",Jennifer Kelly
"March 14, 2024",New Monuments,Amirtha Kidambi’s Elder Ones,Jazz,Amirtha Kidambi,"New York, New York",Michael J. West
"March 13, 2024",A Forsaken Lover’s Plea,Chuck Strangers,Hip-Hop/Rap,Independent Artist,New York,Dylan Green
"March 12, 2024",Dabrye Super Cassette,Dabrye,Electronic,Independent Artist,"Ann Arbor, Michigan",Andrew Parks
"March 11, 2024",Bodies,Various Artists,Electronic,foundation.fm records,"London, UK",Joe Muggs
"March 08, 2024",Torrey,Torrey,Rock,Independent Artist,"Oakland, California",Shy Clara Thompson
"March 07, 2024",Chytridiomycosis Relinquished,Slimelord,Metal,20 Buck Spin,"Pittsburgh, Pennsylvania",Brad Sanders
"March 06, 2024","Open Me, A Higher Consciousness of Sound and Spirit",Kahil El’Zabar’s Ethnic Heritage Ensemble,Jazz,Ethnic Heritage Ensemble,"Chicago, Illinois",Michael J. West
"March 05, 2024",A Single Sunbeam,Daniel Herskedal,Classical,Independent Artist,"Oslo, Norway",Peter Margasak
"March 04, 2024",Infants Under The Bulb,Uranium Club,Punk,Static Shock Records,"London, UK",Jennifer Kelly
"March 01, 2024",Alkemi,Daymé Arocena,Pop,Independent Artist,"London, UK",Rebecca Bodenheimer
"February 29, 2024",Nothing Else Matters & I So Liked Spring,Linda Smith,Pop,Independent Artist,"Baltimore, Maryland",Jude Noel
"February 28, 2024",Dying,The Narcotix,R&amp;B/Soul,Independent Artist,"Brooklyn, New York",Nadine Smith
"February 27, 2024",Scope Neglect,Ben Frost,Electronic,Independent Artist,NA,Grayson Haver Currin
"February 26, 2024",Too Hot To Sleep,Daniel Romano,Rock,Independent Artist,"Welland, Ontario",Casey Jarman
"February 23, 2024",Orchards of a Futile Heaven,The Body & Dis Fig,Metal,the body,"Portland, Oregon",Shane Burley
"February 22, 2024",Sheer Humanity,Tosser,Punk,Independent Artist,"Washington, D.C.",Pat Pilch
"February 21, 2024",Oblivion Theater,Sadistik,Hip-Hop/Rap,Independent Artist,"Los Angeles, California",Phillip Mlynar
"February 20, 2024",Untame the Tiger,Mary Timony,Alternative,Independent Artist,"Washington, D.C.",Elle Carroll
"February 16, 2024",Psychedelic Anxiety,Frances Chang,Experimental,frances chang,New York,Jude Noel
"February 15, 2024",Imitation of War,Itasca,Folk,Independent Artist,"Los Angeles, California",Jim Allen
"February 14, 2024",Big Anonymous,El Perro del Mar,Alternative,Independent Artist,Sweden,Elle Carroll
"February 13, 2024",Merengue Típico: Nueva Generación!,Various Artists,Latin,Les Disques Bongo Joe,"Geneva, Switzerland",Richard Villegas
"February 12, 2024",Request Stop,Various Artists,Experimental,Brachliegen Tapes ☽,"Deal, UK",James Gui
"February 09, 2024",David Nance & Mowed Sound,David Nance,Rock,Independent Artist,"Omaha, Nebraska",Jennifer Kelly
"February 08, 2024","Hello, I’m Britti.",Britti,R&amp;B/Soul,Independent Artist,"New Orleans, Louisiana",Amaya Garcia
"February 07, 2024",Rainbow,Champagne Dub,Alternative,Betamax Super hi-Max Vision Catalogue (Champagne Dub),"London, UK",Andy Thomas
"February 06, 2024",Acid Tab Vocab (The Definitive Edition),Tame One & Parallel Thought,Hip-Hop/Rap,Parallel Thought,"Freehold Township, New Jersey",Dash Lewis
"February 05, 2024",Walls Have Ears,Sonic Youth,Alternative,Independent Artist,"New York, New York",Jesse Locke
"February 02, 2024",Basilisk,J. Robbins,Punk,Independent Artist,"Baltimore, Maryland",Jesse Locke
"February 01, 2024",Eye Flys,Eye Flys,Punk,Independent Artist,"Philadelphia, Pennsylvania",Saby Reyes-Kulkarni
"January 31, 2024",Agustin Pereyra Lucena,Agustín Pereyra Lucena,World,Independent Artist,"Buenos Aires, Argentina",Richard Villegas
"January 30, 2024",Era,Ratigan Era,,HAKUNA KULALA,"Kampala, Uganda",Megan Iacobini de Fazio
"January 29, 2024",The First Fist to Make Contact When We Dap,R.A.P. Ferreira & Fumitake Tamura,,R.A.P. Ferreira,"Nashville, Tennessee",Blake Gillespie
"January 26, 2024",Obsidian Wreath,Infant Island,Punk,Independent Artist,"Fredericksburg, Virginia",Brad Cohan
"January 25, 2024",Nippon Acid Folk 1970​-​1980,Various Artists,Folk,Time Capsule,"London, UK",Will Ainsley
"January 24, 2024",Fairweather Friend,The Umbrellas,Punk,Independent Artist,"San Francisco, California",Hayden Merrick
"January 23, 2024",Junk,Brion Gysin,Experimental,WEWANTSOUNDS,"Paris, France",John Morrison
"January 22, 2024",The Audacity of Free Thought,Delasi,Hip-Hop/Rap,Independent Artist,Ghana,Megan Iacobini de Fazio
"January 19, 2024",Les Grandes Vacances,Cosmic Analog Ensemble,R&amp;B/Soul,Hisstology,Lebanon,Blake Gillespie
"January 18, 2024",Cloudward,Mary Halvorson,,Independent Artist,"New York, New York",Peter Margasak
"January 17, 2024",Selected Jambient Works Vol. 1,Cowboy Sadness,Ambient,Independent Artist,"Kingston, New York",Will Ainsley
"January 16, 2024",ILION,SLIFT,Metal,Independent Artist,"Toulouse, France",Grayson Haver Currin
"January 12, 2024",F_X_M_X_L_Y v2,Various Artists,Electronic,Black Techno Matters,"Washington, D.C.",John Morrison
"January 11, 2024",RAT WARS,HEALTH,,Independent Artist,"Los Angeles, California",Saby Reyes-Kulkarni
"January 10, 2024","Bill Frisell, & Herlin Riley, Owl Song",Ambrose Akinmusire,Jazz,Independent Artist,"Berkeley, California",Peter Margasak
"January 09, 2024",Palermo,Conway the Machine & Wun Two,Hip-Hop/Rap,wun two,Germany,Dash Lewis
"January 08, 2024",Letter to Self,SPRINTS,Punk,Independent Artist,"Dublin, Ireland",Spencer Hughes
"December 01, 2023",Of Shadow and Substance,Lea Bertucci,Experimental,Independent Artist,"New York, New York",Arielle Gordon
"November 30, 2023",i​/​o,Peter Gabriel,Rock,Independent Artist,"England, UK",Brad Sanders
"November 29, 2023",Albion,Harp,Folk,Independent Artist,North Carolina,Patrick King
"November 28, 2023",Beyond the Midnight Sun,Don Leisure & Amanda Whiting,Jazz,Don Leisure,"Cardiff, UK",Blake Gillespie
"November 27, 2023",Illuminated 1989,The Veldt,Alternative,Independent Artist,"Raleigh, North Carolina",John Morrison
"November 22, 2023",When The Roses Come Again,Daniel Bachman,Experimental,Independent Artist,"Madison, Virginia",Katie Kurtz
"November 21, 2023",Hypnotized,DJ Manny,Electronic,Dj Manny,"Chicago, Illinois",Lewis Gordon
"November 20, 2023",Dimanche à Bamako,Bounaly,World,Independent Artist,"Bamako, Mali",Will Ainsley
"November 17, 2023",Quaranta,Danny Brown,Hip-Hop/Rap,Independent Artist,"Detroit, Michigan",Dash Lewis
"November 16, 2023",Cash Corridos 3,Cash Bently,Latin,Independent Artist,"Los Angeles, California",Maria Barrios
"November 15, 2023",Imagine My Surprise,Roy Werner,Electronic,Independent Artist,"Los Angeles, California",Ted Davis
"November 14, 2023",Nacre,Quade,Experimental,Independent Artist,"Bristol, UK",Ted Davis
"November 13, 2023",Magg Tekki,Assiko Golden Band de Grand Yoff,World,Mississippi Records,"New York, New York",Megan Iacobini de Fazio
"November 10, 2023",Integrated Tech Solutions,Aesop Rock,Hip-Hop/Rap,Independent Artist,NA,Phillip Mlynar
"November 09, 2023",I was too young to hear silence,Patrick Shiroishi,Experimental,Independent Artist,"Los Angeles, California",James Gui
"November 08, 2023",Whiplash,Asha Sheshadri,Experimental,Recital,"Glendale, California",Will Ainsley
"November 07, 2023",Diagnosis,Sen Morimoto,Alternative,Independent Artist,"Chicago, Illinois",Spencer Hughes
"November 06, 2023",The Comeback Kid,Marnie Stern,Rock,Independent Artist,"New York, New York",Andrew Parks
"November 03, 2023",Access To The Lonely,Rid of Me,Rock,Rid Of Me,"Philadelphia, Pennsylvania",Brad Cohan
"November 02, 2023",Strata,El Búho,Electronic,Independent Artist,"Toulouse, France",Richard Villegas
"November 01, 2023",LXXXVIII,Actress,Electronic,Independent Artist,"London, UK",Joe Muggs
"October 31, 2023",Hard Light,Drop Nineteens,Alternative,Independent Artist,"Boston, Massachusetts",Jesse Locke
"October 30, 2023",KUANTALAENG,Pisitakun,Electronic,CHINABOT,"London, UK",James Gui
"October 27, 2023",Mehmet Aslan Presents ‘Senza Decoro: Liebe + Anarchia/Switzerland 1980​-​1990’,Various Artists,Alternative,Strut,"London, UK",Shy Clara Thompson
"October 26, 2023",Half Eaten By Dogs,The Serfs,Rock,Independent Artist,"Cincinnati, Ohio",Will Ainsley
"October 25, 2023",Robed In Rareness,Shabazz Palaces,Hip-Hop/Rap,Independent Artist,"Seattle, Washington",Phillip Mlynar
"October 24, 2023",Welcome To Hell,Joseph Shabason,Jazz,Independent Artist,"Toronto, Ontario",Jared Proudfoot
"October 23, 2023",Fourth Album,Markus Floats,Electronic,Independent Artist,NA,Jesse Locke
"October 20, 2023",Death is Home,Aïsha Devi,Electronic,Aisha Devi,Switzerland,Joe Muggs
"October 19, 2023",Spike Field,Maria BC,Experimental,Independent Artist,NA,Maria Barrios
"October 18, 2023",I Killed Your Dog,L’Rain,Experimental,L&#39;Rain,"Brooklyn, New York",Ann-Derrick Gaillot
"October 17, 2023",Sound of Blue,White Poppy,Alternative,Independent Artist,NA,April Clare Welsh
"October 16, 2023",A Stranger That You Met Before,A Day Without Love,Alternative,Independent Artist,"Boston, Massachusetts",John Morrison
"October 13, 2023",Water Made Us,Jamila Woods,R&amp;B/Soul,Independent Artist,"Chicago, Illinois",John Morrison
"October 12, 2023",The Father of Libyan Reggae,Ibrahim Hesnawi,Reggae,Habibi Funk Records,"Berlin, Germany",Maria Barrios
"October 11, 2023",Errors,Capra,,CAPRA,"Lafayette, Louisiana",Saby Reyes-Kulkarni
"October 10, 2023",Buy This Now!,Uni Boys,Rock,Independent Artist,"Los Angeles, California",Jude Noel
"October 09, 2023",Afternoon X,Vanishing Twin,Alternative,Independent Artist,"London, UK",Will Ainsley
"October 05, 2023",Golden Apples of the Sun,Suzanne Ciani & Jonathan Fitoussi,Electronic,Transversales Disques,"Paris, France",Ted Davis
"October 04, 2023",Perfect Picture,Hannah Diamond,Pop,Independent Artist,"London, UK",April Clare Welsh
"October 03, 2023",Javelin,Sufjan Stevens,Alternative,Independent Artist,"New York, New York",Elle Carroll
"September 29, 2023",Dissolution Grip,KMRU,Ambient,Independent Artist,"Nairobi, Kenya",Eli Schoop
"September 29, 2023",Tender,zzzahara,,Independent Artist,"Los Angeles, California",Elle Carroll
"September 28, 2023",Find Out,Filth Is Eternal,Punk,Filth is Eternal,"Seattle, Washington",Brad Sanders
"September 27, 2023",We Buy Diabetic Test Strips,Armand Hammer,Hip-Hop/Rap,Independent Artist,New York,Dash Lewis
"September 26, 2023",Sit Down For Dinner,Blonde Redhead,Alternative,Independent Artist,"New York, New York",Elle Carroll
"September 25, 2023",The Enduring Spirit,Tomb Mold,Metal,20 Buck Spin,"Pittsburgh, Pennsylvania",Ben Salmon
"September 22, 2023",Gentle Confrontation,Loraine James,,Independent Artist,"London, UK",John Morrison
"September 21, 2023",Sorry I Haven’t Called,Vagabon,,Independent Artist,"New York, New York",Ann-Derrick Gaillot
"September 20, 2023",No Ordinary Crown,Will Johnson,Folk,Independent Artist,"Austin, Texas",Josh Feola
"September 19, 2023",Circus Underwater,Circus Underwater,Electronic,Soundway Records,UK,Will Ainsley
"September 18, 2023",Powders,Eartheater,Alternative,Independent Artist,"Queens, New York",Andrew Parks
"September 15, 2023",All Around You,Subsonic Eye,Alternative,Independent Artist,Singapore,Will Ainsley
"September 14, 2023","¡Con Piano, Sublime!: Early Recordings from the Caribbean 1907​-​1921",Various Artists,World,Magnificent Sounds Records,"Buffalo, New York",Shy Clara Thompson
"September 13, 2023",Buddy’s Magic Toy Box,Mega Ran,Hip-Hop/Rap,Independent Artist,"Phoenix, Arizona",Casey Jarman
"September 12, 2023",DEATH AWAITS,Blind Equation,Metal,Independent Artist,"Chicago, Illinois",Colin Williams
"September 11, 2023",Techxodus,Speaker Music,Electronic,Independent Artist,NA,John Morrison
"September 08, 2023",66689 BLVD Prequel,Kipp Stone,,Independent Artist,"Cleveland, Ohio",John Morrison
"September 07, 2023",Careful!,Deeper,Punk,Independent Artist,"Chicago, Illinois",Will Ainsley
"September 06, 2023","Private Recordings, August 1970",Sylvester,Devotional,Independent Artist,"San Francisco, California",Niko Stratis
"September 05, 2023",Come Around And Love Me,Jalen Ngonda,,Independent Artist,"London, UK",John Morrison
"September 01, 2023",HELLMODE,Jeff Rosenstock,Rock,Independent Artist,New York,Arielle Gordon
"August 31, 2023",SUM,위댄스 (Wedance),Pop,Independent Artist,"Seoul, South Korea",James Gui
"August 30, 2023",Poppa Zesque,Josh Caffe,,Independent Artist,"London, UK",John Morrison
"August 29, 2023",Perceptions,Jamma-Dee,Funk,Independent Artist,"Los Angeles, California",John Morrison
"August 28, 2023",I Will Make A Baby In This Damn Economy,Fat Tony and Taydex,Hip-Hop/Rap,Fat Tony,"Houston, Texas",Dash Lewis
"August 25, 2023",Songs for Children,Mr. Greg & Cass McCombs,Kids,Mr. Greg &amp; Cass McCombs,"San Francisco, California",Maria Barrios
"August 24, 2023",Blackity Black Black is Beautiful,Fay Victor,Jazz,Independent Artist,"Brooklyn, New York",John Morrison
"August 23, 2023",Away Back In,Raw Poetic Feat. Damu the Fudgemunk,Hip-Hop/Rap,Damu The Fudgemunk,"Washington, D.C.",John Morrison
"August 22, 2023",Yonder,Dabda / 다브다,Rock,Independent Artist,"Seoul, South Korea",Jesse Locke
"August 21, 2023",SPELLLING & the Mystery School,SPELLLING,Experimental,Independent Artist,"Oakland, California",Richard Villegas
"August 18, 2023",Festering Grotesqueries,Dripping Decay,Metal,Independent Artist,"Portland, Oregon",Saby Reyes-Kulkarni
"August 17, 2023",Homo Anxietatem,Shamir,,Independent Artist,"Philadelphia, Pennsylvania",Ann-Derrick Gaillot
"August 16, 2023",Crazy Trip,Tomu DJ,,Independent Artist,NA,Andra Nikolayi
"August 15, 2023",Resolve,Arnold Dreyblatt and the Orchestra of Excited Strings,Classical,adlabels,"Berlin, Germany",Marc Masters
"August 14, 2023",The Katechon and the Unending Fire,Pyrkagion,Metal,PYRKAGION,NA,Colin Williams
"August 11, 2023",We’ll Hide Away: Complete Recordings 1993​-​1995,Grain,Punk,Independent Artist,"Cleveland, Ohio",Brad Cohan
"August 10, 2023",DJs Di Guetto,DJs Di Guetto,Electronic,Príncipe,"Lisbon, Portugal",Eli Schoop
"August 09, 2023",Non-Stop Healing Frequency,Ruth Mascelli,Experimental,Independent Artist,New York,Marc Masters
"August 08, 2023",And Southern Star,Mikaela Davis,Country,Independent Artist,"Catskill, New York",Ben Salmon
"August 07, 2023",Chthonic,Lawrence English & Lea Bertucci,Experimental,Lawrence English &amp; Lea Bertucci,"Sydney, Australia",Ted Davis
"August 04, 2023",Prestige,Girl Ray,Pop,Independent Artist,"London, UK",Elle Carroll
"August 03, 2023",They Live in My Head,Bush Tetras,Punk,Independent Artist,"New York, New York",Sims Hardin
"August 02, 2023",Love Hallucination,Jessy Lanza,,Independent Artist,"Hamilton, Ontario",April Clare Welsh
"August 01, 2023",Vol. II,Silicone Prairie,Punk,Independent Artist,"Kansas City, Missouri",Kerry Cardoza
"July 31, 2023",An​á​sana,Maroulita de Kol,Folk,Independent Artist,"Berlin, Germany",James Gui
"July 27, 2023","Bark Out Thunder, Roar Out Lightning",Chief Adjuah,,Independent Artist,"New Orleans, Louisiana",John Morrison
"July 27, 2023",Nos Habet Caramel | نص ح​ب​ة ك​ر​ا​م​ي​ل,El Kontessa,Electronic,Bilna&#39;es بالناقص,Palestine,James Gui
"July 26, 2023",Decay,Fatboi Sharif,Hip-Hop/Rap,Independent Artist,New Jersey,J. Edward Keyes
"July 25, 2023",Sot Wa Sada,Almaazz,,Independent Artist,"Vancouver, British Columbia",Andra Nikolayi
"July 24, 2023",Journey to the Moon and Beyond,Mort Garson,Experimental,Independent Artist,"Los Angeles, California",Ted Davis
"July 21, 2023",Black Weirdo,Kilamanzego,Electronic,Independent Artist,"Philadelphia, Pennsylvania",John Morrison
"July 20, 2023",Infinite Psychic Depths,Outer Heaven,Metal,Independent Artist,"Douglassville, Pennsylvania",Brad Sanders
"July 19, 2023",New Future City Radio,Damon Locks and Rob Mazurek,Electronic,International Anthem,"Chicago, Illinois",John Morrison
"July 18, 2023",Agriculture,Agriculture,Metal,Independent Artist,"Los Angeles, California",Ben Salmon
"July 17, 2023",Marzipan,Charif Megarbane,World,Habibi Funk Records,"Berlin, Germany",Dean Van Nguyen
"July 14, 2023",Coh B​â​le,Marc Richter,Experimental,BLACK TO COMM,"Hamburg, Germany",Marc Masters
"July 13, 2023",The Ones Ahead,Beverly Glenn-Copeland,Experimental,Independent Artist,"Hamilton, Ontario",Vanessa Ague
"July 12, 2023",Natural Wonder Beauty Concept,Natural Wonder Beauty Concept,,Independent Artist,"Queens, New York",Ann-Derrick Gaillot
"July 11, 2023",Absurd Matter,Shapednoise,Electronic,Independent Artist,"Berlin, Germany",Eli Schoop
"July 10, 2023",Natural Internet,Will Sprott,Rock,Independent Artist,"Grass Valley, California",Will Ainsley
"July 07, 2023",Calling,Cherise,,CHERISE,"London, UK",Jaelani Turner-Williams
"July 06, 2023",Adultish,Substantial,Hip-Hop/Rap,Independent Artist,"Alexandria, Virginia",Phillip Mlynar
"July 05, 2023",Canyon,Saloli,Electronic,Independent Artist,"Portland, Oregon",Casey Jarman
"July 04, 2023",Far From the Rhythm,Fit of Body,Electronic,Independent Artist,"Atlanta, Georgia",James Gui
"July 03, 2023",Fake Is Real,SDH,Electronic,Independent Artist,"Barcelona, Spain",Andi Harriman
"June 30, 2023",Yebo! Rare Mzansi Party Beats from Apartheid’s Dying Years,Various Artists,Pop,BBE,"London, UK",Andy Thomas
"June 29, 2023",Systemic,Divide and Dissolve,Metal,Independent Artist,"Melbourne, Australia",Ned Raggett
"June 28, 2023",Figura de Cristal,Estrella del Sol,,Independent Artist,"Mexico City, Mexico",Maria Barrios
"June 27, 2023",Drum Money,Ekiti Sound,Electronic,Independent Artist,"Lagos, Nigeria",Joe Muggs
"June 26, 2023",Tao Fire 道火,Mong Tong 夢東,Experimental,Mong Tong,Taiwan,Josh Feola
"June 23, 2023",Death’s Toll,DeathCollector,Metal,DeathCollectorUK,"Birmingham, UK",Colin Williams
"June 22, 2023",Control Center,BusCrates,,Independent Artist,Pittsburgh,Blake Gillespie
"June 21, 2023",RBGxDD,Abderraouf B Grissa & Dan Drohan,Jazz,Uno Loop,NA,John Morrison
"June 20, 2023",MICHAEL,Killer Mike,Hip-Hop/Rap,Independent Artist,NA,Dash Lewis
"June 16, 2023","Julius Eastman Vol. 3: If You’re So Smart, Why Aren’t You Rich?",Wild Up,,Independent Artist,"Los Angeles, California",Shy Clara Thompson
"June 15, 2023",Synthesized Sudan: Astro​-​Nubian Electronic Jaglara Dance Sounds from the Fashaga Underground,Jantra,Electronic,Ostinato Records,"New York, New York",Megan Iacobini de Fazio
"June 14, 2023",Currency // Castration,GELD,,Independent Artist,"Melbourne, Australia",Alex Deller
"June 13, 2023","Late, Late Show",pel mel,Alternative,Efficient Space,"Melbourne, Australia",Andi Harriman
"June 12, 2023",O Yinne!,Alogte Oho and his Sounds of Joy,World,Independent Artist,"Bolgatanga, Ghana",Andy Thomas
"June 09, 2023",Guy,Jayda G,,Independent Artist,"London, UK",April Clare Welsh
"June 08, 2023",Tabaco: Compiled by El Drag​​​ó​​​n Criollo & El Palmas,Tabaco,Latin,Independent Artist,"Caracas, Venezuela",Phillipe Roberts
"June 07, 2023",Ang Pagdaloy,Pantayo,,Independent Artist,"Toronto, Ontario",James Gui
"June 06, 2023",Brain Worms,RVG,Alternative,Independent Artist,"Preston, Australia",Shannon Nico Shreibak
"June 05, 2023",Zango,WITCH,Rock,Independent Artist,Zambia,Ana Leorne
"June 02, 2023",Lucky For You,Bully,Alternative,Independent Artist,"Nashville, Tennessee",Elle Carroll
"June 01, 2023",Starling,Katherine Kyu Hyeon Lim,Classical,Independent Artist,"New York, New York",Vanessa Ague
"May 31, 2023",brutalovechamp,Brandon Seabrook’s Epic Proportions,Experimental,Brandon Seabrook,"Brooklyn, New York",Brad Cohan
"May 30, 2023",Romantic Piano,Gia Margaret,,Independent Artist,"Chicago, Illinois",Arielle Gordon
"May 26, 2023",My Soft Machine,Arlo Parks,,Independent Artist,"London, UK",Jaelani Turner-Williams
"May 25, 2023",REAL B*TCHES DON’T DIE!,Kari Faux,Hip-Hop/Rap,Independent Artist,"Little Rock, Arkansas",Dash Lewis
"May 24, 2023",Akousmatikous,Salami Rose Joe Louis,Alternative,salami rose joe louis,California,John Morrison
"May 23, 2023",Calm Ya Farm,The Murlocs,Rock,Independent Artist,"Melbourne, Australia",Saby Reyes-Kulkarni
"May 22, 2023","Indiana, i’ve seen a way",Mandy,,"Mandy, Indiana","Manchester, UK",Ted Davis
"May 19, 2023",Dog Dreams (​개​꿈​),Lucy Liyou,Experimental,Independent Artist,"San Francisco, California",James Gui
"May 18, 2023",Great Big Open Sky,Daisies,Electronic,Independent Artist,"Olympia, Washington",Sims Hardin
"May 17, 2023",BIZCAS10: Ten Years of Business Casual,Various Artists,Electronic,business casual,NA,Sam Goldner
"May 16, 2023",Position,PANGAR,Electronic,Independent Artist,Réunion,Joe Muggs
"May 15, 2023",Orbweaving,Midwife & Vyva Melinkolya,Alternative,Vyva Melinkolya,"Louisville, Kentucky",Arielle Gordon
"May 11, 2023",Flowers At Your Feet,Rahill,,Independent Artist,"New York, New York",Elle Carroll
"May 10, 2023",Ilgrain,Sequoyah Murray,Electronic,Real Blue Love Rips,"Brooklyn, New York",Amaya Garcia
"May 09, 2023",Maps,billy woods & Kenny Segal,,billy woods,"New York, New York",Nadine Smith
"May 08, 2023",Turbulence and Pulse,Asher Gamedze,Jazz,International Anthem,"Chicago, Illinois",John Morrison
"May 05, 2023",Gateway Experience,Witch Prophet,,Independent Artist,"Toronto, Ontario",Nadine Smith
"May 04, 2023",Silver Haze,SQÜRL,Experimental,Independent Artist,"New York, New York",Colin Joyce
"May 03, 2023",CBD Reiki Moonbeam,Neggy Gemmy,Electronic,Independent Artist,"Los Angeles, California",Natalie Marlin
"May 02, 2023",Karma 業,P.H.0,Electronic,Independent Artist,"New York, New York",James Gui
"May 01, 2023",DREAMER,Nabihah Iqbal,Electronic,Independent Artist,"London, UK",Elle Carroll
"April 28, 2023",From Whence It Came,YUNGMORPHEUS,,Independent Artist,"Los Angeles, California",Michael Penn
